0.01	-nan	-nan
7.3	2.61812	108.579
7.31	2.61725	108.509
7.32	2.61638	108.441
7.33	2.61553	108.373
7.34	2.61469	108.306
7.35	2.61387	108.24
7.36	2.61306	108.175
7.37	2.61227	108.11
7.38	2.61149	108.047
7.39	2.61072	107.985
7.4	2.60996	107.923
7.41	2.60922	107.863
7.42	2.60849	107.803
7.43	2.60778	107.744
7.44	2.60707	107.686
7.45	2.60638	107.629
7.46	2.60571	107.572
7.47	2.60504	107.517
7.48	2.60439	107.462
7.49	2.60376	107.408
7.5	2.60313	107.355
7.51	2.60252	107.302
7.52	2.60192	107.25
7.53	2.60133	107.199
7.54	2.60076	107.149
7.55	2.60019	107.099
7.56	2.59964	107.051
7.57	2.5991	107.002
7.58	2.59858	106.955
7.59	2.59806	106.908
7.6	2.59756	106.862
7.61	2.59707	106.817
7.62	2.59659	106.772
7.63	2.59613	106.728
7.64	2.59567	106.684
7.65	2.59523	106.641
7.66	2.5948	106.599
7.67	2.59438	106.557
7.68	2.59397	106.516
7.69	2.59358	106.476
7.7	2.59319	106.436
7.71	2.59282	106.396
7.72	2.59245	106.358
7.73	2.5921	106.319
7.74	2.59176	106.282
7.75	2.59143	106.244
7.76	2.59112	106.208
7.77	2.59081	106.172
7.78	2.59051	106.136
7.79	2.59023	106.101
7.8	2.58995	106.066
7.81	2.58969	106.032
7.82	2.58943	105.999
7.83	2.58919	105.966
7.84	2.58896	105.933
7.85	2.58873	105.901
7.86	2.58852	105.869
7.87	2.58832	105.838
7.88	2.58813	105.807
7.89	2.58795	105.776
7.9	2.58778	105.746
7.91	2.58762	105.717
7.92	2.58747	105.687
7.93	2.58732	105.659
7.94	2.58719	105.63
7.95	2.58707	105.602
7.96	2.58696	105.574
7.97	2.58686	105.547
7.98	2.58676	105.52
7.99	2.58668	105.494
8	2.58661	105.467
